,full_id,y
0,5ad052672dbd85702a9af397,0
1,5ad0b542b54aae483e5dd10f,0
2,5ad01508e1eefe4896ef99e6,1
3,5acff06f59c9413993a4e388,0
4,5ad0b46e450fbc6efee50ad4,1
5,5acf96bb3e75236a018f9e14,1
6,5ad059a8897de54763856450,0
7,5ad0890cb31aaa7021be6e33,0
8,5ad00d9b0d39e8150cb0eb72,0
9,5ad07fdc2d0c2a2e3fdb3617,0
10,5ad0d185c077bc70099131eb,0
11,5ad02204d0d3372f534fce67,1
12,5ad062652dbd85702a9e5890,0
13,5ad09a360a6fa92f88984b14,0
14,5ad0896a6b4d03488adee3e4,0
15,5ad02f196b4d03488aca9805,0
16,5ad08bc41f0ca62f3b1c150e,0
17,5ad04e45b31aaa7021b1ce59,0
18,5ad04c132e6b536f0f26922b,1
19,5acf85f15f081c394d9bd5c4,0
20,5ad094c3897de54763921bb0,0
21,5ad0bd95bf06f46f099205e0,0
22,5ad011e73e75236a019ab953,0
23,5ad00a4a129734151731142b,0
24,5ad0213cb4034470570fa41a,0
25,5ad0d2bbf716a54769a590d0,1
26,5ad08d4558f66b2e3491ce0a,0
27,5ad034e3b54aae483e418443,0
28,5ad0c824bf06f46f09951d4f,0
29,5ad00a8a606d0c6b2d13aade,0
30,5acfee75606d0c6b2d0df147,1
31,5ad032bcb31aaa7021ab6940,0
32,5ad0338864fc0b48484549b2,0
33,5ad0ca0d2e6b536f0f43155b,1
34,5ad002b4243cbe6a8dd35310,1
35,5ad06c285fabdf47f01045f4,0
36,5ad030ca5fabdf47f002f63f,1
37,5ad031ac5fabdf47f0033996,0
38,5ad06b7b450fbc6efed567b6,1
39,595d8f9b2d67ce3b1b36df70,0
40,5ad042c4e1eefe4896fa8815,0
41,5ad009eb129734151730fecf,0
42,5ad00f515f081c394da875a9,1
43,5ad04a70d0d3372f5358e85a,0
44,5ad06e45b54aae483e4e2d01,0
45,5ad01ff8f4edea6f04475ae9,0
46,5ad022fe58f66b2e347a5708,0
47,5ad019ea6b4d03488ac5ab28,1
48,5ad013fabf06f46f096bce0a,0
49,5ad05c8c450fbc6efed22097,1
50,5ad00b72243cbe6a8dd5358c,0
51,5ad03a3bd0d3372f53554bb4,0
52,5ad03775c077bc70096e0778,1
53,5acf86c359c94139939ef891,1
54,5acf29b09f140f327f2dcfa8,0
55,5ad061d1b4034470571de554,0
56,5ad0a5922d0c2a2e3fe3506b,0
57,5ad04a732e6b536f0f263882,0
58,5ad0858eb40344705725c658,1
59,5ad0d0b9450fbc6efeec9cd1,0
60,5ad048d95fabdf47f008a6c9,1
61,5ad0adb12862a62f3477afb1,0
62,5acf92301297341517274358,0
63,5ad08c65699cc62e4614196b,0
64,5acffe2f1198a238574a5f53,0
65,5ad09f3cb31aaa7021c353fb,0
66,5ad0553e22defc47ea265ae5,0
67,5987369ef4acdf7ffc4c3b24,0
68,5ad02a08f4edea6f0449b803,0
69,5ad0117e402a596ad581d644,0
70,5ad008d9606d0c6b2d134859,0
71,5ad0b4bd897de547639986c0,0
72,5ad0454a5fabdf47f007c903,0
73,5acfc029331a0b15f47afbc8,1
74,5ad0673cb31aaa7021b70877,0
75,5acffa001f97433851bd3e87,0
76,5ad0a12a58f66b2e34960f84,0
77,5acffcac0d39e8150cad1d1f,1
78,5ad062dd5fabdf47f00e2808,0
79,5ad05ff5e1eefe48960098c8,1
80,5acf89773e75236a018e3a3c,0
81,5ad06312c077bc700977863f,0
82,5acf954c6077d1151e930b01,1
83,5acffb3b402a596ad57d1013,0
84,5ad0d2f4e1eefe48961b11fc,1
